X,Y,Z
1.0,1.0,1.0
1.0194144739820412,1.325489096061954,0.9816151020409283
1.075317160019646,1.6597339161604963,0.9686219673638414
1.1651024050800616,2.01441838828367,0.9621337800687327
1.2875126925222649,2.4008161394104803,0.963884862373638
1.4434164031418233,2.828907784114633,0.9761290291442003
1.6346723758650465,3.3091141535701647,1.0020902504323974
1.863708798271362,3.8529300500883603,1.0461788116121429
2.133746166877074,4.472534324450378,1.1144450520939235
2.4498553209085565,5.180178804872179,1.214202600537593
2.818129084105091,5.989186362235251,1.3547687165349978
3.245279308469826,6.913443230698063,1.5499337111717932
3.7386389684226655,7.9673757529697475,1.8180141410586494
4.305875787007841,9.164606978522595,2.1821418544978286
4.9525680900842755,10.503710990208175,2.6749936461154933
5.692494287609014,12.012393502804464,3.331931940089027
6.537910601309447,13.707813154843254,4.196451666838211
7.496189155233517,15.58177882160982,5.322833726479953
8.569817975749729,17.60074961514293,6.77614498882829
9.75640099154715,19.705834884234836,8.63223829339439
11.048658033635387,21.81279421443127,10.97775244938654
12.433652434071204,23.81282986690263,13.905563106879777
13.877276122218591,25.545782266597588,17.444052945105923
15.326105240031136,26.764885021141144,21.580420211402945
16.707939791453388,27.234950514655075,26.21191059071966
17.929639478146527,26.74689724305251,31.126811177512884
18.884190388402377,25.106934425211332,36.0151862542552
19.46888109581901,22.31460973128374,40.463803951585696
19.592729459422497,18.637193993270973,44.054053699691465
19.217979953288527,14.357183752745946,46.523681564633804
18.362451875148405,9.760716451892868,47.77331603053554
17.07656866239064,5.24994784478006,47.84299044091611
15.441285672192226,1.2458514277825987,46.92122778054694
13.567886303773259,-2.0497004701373456,45.29052657379397
11.57243993591494,-4.575058451125248,43.276258529900204
9.559255469482988,-6.3883817444496795,41.142568600122594
7.606931921774953,-7.598472743132091,39.05130808084254
5.77182754865776,-8.334080738707312,37.1129645411495
4.087775806209152,-8.734651908170962,35.380391604836426
2.56979554158104,-8.90062837774825,33.861860467064545
1.2192966148046707,-8.912236612429819,32.54532448221116
0.03171866015731961,-8.832640754297964,31.412166002710492
-1.0030427940127922,-8.706596544821904,30.43775741051036
-1.9003701191605509,-8.563612467722512,29.594982973765582
-2.6760010329571084,-8.423592859877077,28.86426871074071
-3.3442114088366934,-8.297837860314921,28.227996434389077
-3.9193613477237723,-8.194995192649776,27.671432454505535
-4.415912192792012,-8.12116635037073,27.182797068577663
-4.8484044119371905,-8.079732173342917,26.753107376563914
-5.228967801996016,-8.069654225207735,26.37529999442337
-5.565380983656782,-8.089333174455541,26.046063418021017
-5.864947620477791,-8.137199543970562,25.7627890871493
-6.134909578099591,-8.211331144892386,25.52292987277265
-6.382446924244995,-8.309453076615965,25.324000077027478
-6.614677264657943,-8.428937486114231,25.163575908409022
-6.836612030633333,-8.566482328096924,25.040767795012194
-7.049925022463976,-8.718858283040634,24.956884172605953
-7.256392820016344,-8.882962053172369,24.9125251347197
-7.457622390456679,-9.055340538161266,24.907711450346273
-7.655051088250987,-9.232190835118578,24.94188456394198
-7.849946655165043,-9.409360238597678,25.013906595426572
-8.043370239417522,-9.582419264260746,25.122083196749642
-8.234935094067708,-9.747726504648973,25.26508982856792
-8.422909704228083,-9.900895965674229,25.44198869569154
-8.605533455413589,-10.037476254320568,25.650954529257028
-8.781023807753247,-10.153388573755466,25.889211498523174
-8.947576295990162,-10.244926723329819,26.15303321087104
-9.10336452948152,-10.308757098577946,26.43774271180397
-9.24654019219859,-10.341918691217584,26.73771248494757
-9.375233042726723,-10.341823089149896,27.04636445204972
-9.487775785408664,-10.306195605773329,27.357894755370616
-9.581694858144711,-10.235038335672218,27.66622675577161
-9.654319622889885,-10.129936823067098,27.963854417058847
-9.70368184406548,-9.992970556335434,28.24402103265717
-9.728516274706266,-9.82671234146735,28.500721372942664
-9.728260656460469,-9.634228302065612,28.72870168524269
-9.703055719589784,-9.419077879345641,28.92345969383586
-9.653745182969375,-9.185313832135515,29.081244599952047
-9.581875754087868,-8.937482236875951,29.199057081772388
-9.489697129047352,-8.680622487620328,29.274649294429274
-9.3789189908596,-8.421401094996655,29.307637397380372
-9.250861474784134,-8.166615118495233,29.29896374652304
-9.108517633651918,-7.9206903809522595,29.248850117263817
-8.954891713340976,-7.687631767007525,29.158406715209455
-8.792984122190198,-7.471039499367961,29.029646369479824
-8.625791430999325,-7.274109138807622,28.86548453270793
-8.45630637302894,-7.0996315841676845,28.669739281039913
-8.287517844000492,-6.949993072356455,28.44713131413504
-8.122410902096263,-6.827175178349358,28.203283955165695
-7.963966767959397,-6.732754815188951,27.944723150817413
-7.815056152401899,-6.666876168615366,27.677651261330016
-7.677663766205072,-6.626265288061159,27.403180135689798
-7.553349237307955,-6.611198331230647,27.12446395268985
-7.443494537420333,-6.621943236775084,26.844996741650075
-7.349288550162901,-6.658292091836637,26.568192250259887
-7.2717270710672635,-6.71956113204839,26.29738394457826
-7.2116128075759365,-6.804590741534346,26.035825009033672
-7.169555379042349,-6.911745452909423,25.78668834642416
-7.145971316730841,-7.038913947279453,25.55306657791728
-7.141084063816663,-7.18350905424119,25.337972043050133
-7.154923975385977,-7.342467751882297,25.144336799729345
